id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600001,6,3,7,4,4,6,9,10,,,,,,,,,
7600002,7,8,6,7,3,5,8,10,,,,,,,,,
7600003,6,5,7,2,5,6,7,10,,,,,,,,,
7600004,5,4,6,5,5,2,5,9,,,,,,,,,
7600005,4,6,2,8,5,1,3,10,,,,,,,,,
7600006,9,9,10,9,8,6,10,9,,,,,,,,,
7600007,3,4,3,3,3,2,5,10,,,,,,,,,
7600008,8,5,8,7,5,10,9,8,,,,,,,,,
7600009,8,8,8,8,5,7,7,7,,,,,,,,,
7600010,2,3,3,4,3,2,3,9,,,,,,,,,
7600011,8,7,7,9,5,8,9,7,,,,,,,,,
7600012,5,6,4,2,5,4,5,10,,,,,,,,,
7600013,8,8,8,8,5,7,8,8,,,,,,,,,
7600014,3,4,4,1,2,2,5,9,,,,,,,,,
7600015,6,8,6,8,5,3,4,10,,,,,,,,,
7600016,5,6,5,2,3,4,6,10,,,,,,,,,
7600017,4,5,5,10,5,1,3,10,,,,,,,,,
7600018,2,2,4,1,2,1,6,9,,,,,,,,,
7600019,3,5,3,1,4,3,4,9,,,,,,,,,
7600020,7,6,8,5,5,7,8,10,,,,,,,,,
7600021,2,3,2,8,1,2,3,8,,,,,,,,,
7600022,4,4,4,3,3,7,5,9,,,,,,,,,
7600023,2,1,2,4,2,4,3,9,,,,,,,,,
7600024,4,6,4,4,2,4,4,9,,,,,,,,,
7600025,3,4,5,4,3,4,2,9,,,,,,,,,
7600026,5,2,7,3,3,6,7,10,,,,,,,,,
7600027,6,5,6,9,6,4,5,10,,,,,,,,,
7600028,7,7,7,7,6,7,5,9,,,,,,,,,
7600029,6,8,5,2,2,4,5,10,,,,,,,,,
7600030,5,6,5,6,7,3,6,8,,,,,,,,,
7600031,5,6,5,2,4,4,3,9,,,,,,,,,
7600032,9,9,9,8,8,8,9,9,,,,,,,,,
7600033,2,1,2,2,3,6,4,10,,,,,,,,,
7600034,9,8,9,10,7,7,9,9,,,,,,,,,
7600035,2,3,2,6,3,4,4,9,,,,,,,,,
7600036,5,3,5,5,4,10,4,9,,,,,,,,,
7600038,6,5,5,8,7,6,5,8,,,,,,,,,
7600039,4,7,4,3,2,1,4,9,,,,,,,,,
7600040,4,5,5,4,4,4,6,9,,,,,,,,,
7600041,3,3,4,3,2,4,4,9,,,,,,,,,
7600042,6,7,7,4,5,6,7,9,,,,,,,,,
7600043,5,4,4,10,3,4,4,9,,,,,,,,,
7600044,3,4,3,9,2,3,3,6,,,,,,,,,
7600045,5,4,6,5,6,5,4,9,,,,,,,,,
7600046,4,7,3,3,3,3,4,9,,,,,,,,,
7600047,6,8,6,2,4,6,5,8,,,,,,,,,
7600048,7,6,7,9,4,9,5,8,,,,,,,,,
7600049,2,1,3,1,2,4,2,10,,,,,,,,,
7600050,7,5,8,7,7,10,7,8,,,,,,,,,
7600051,3,4,3,2,3,4,5,9,,,,,,,,,
7600052,2,4,3,1,2,1,1,9,,,,,,,,,
7600053,6,6,6,7,5,6,5,8,,,,,,,,,
7600054,8,7,9,8,7,8,7,6,,,,,,,,,
7600055,5,6,6,5,4,5,6,8,,,,,,,,,
7600056,10,9,10,6,10,9,9,6,,,,,,,,,
7600057,8,7,8,5,7,7,8,7,,,,,,,,,
7600058,3,2,4,3,4,3,4,8,,,,,,,,,
7600060,5,6,4,5,4,6,4,9,,,,,,,,,
7600061,10,9,10,6,9,10,8,6,,,,,,,,,
7600062,3,5,3,2,2,2,4,8,,,,,,,,,
7600063,7,7,7,10,6,7,5,7,,,,,,,,,
7600064,2,1,3,2,2,5,5,9,,,,,,,,,
7600065,10,10,10,10,9,10,9,5,,,,,,,,,
7600066,8,9,9,4,8,9,7,6,,,,,,,,,
7600068,9,9,8,10,9,8,4,7,,,,,,,,,
7600069,9,9,9,8,9,9,8,5,,,,,,,,,
7600070,10,10,10,7,10,10,10,5,,,,,,,,,
7600071,9,9,9,10,8,10,6,4,,,,,,,,,
7600072,10,9,10,10,10,9,8,5,,,,,,,,,
7600073,6,5,7,2,4,8,6,6,,,,,,,,,
7600074,6,5,6,2,4,10,4,7,,,,,,,,,
7600075,6,6,7,3,3,8,5,7,,,,,,,,,
7600076,9,7,10,9,9,8,8,5,,,,,,,,,
7600078,7,6,9,7,9,7,7,5,,,,,,,,,
7600079,4,2,5,4,7,5,4,5,,,,,,,,,
7600080,7,6,9,7,8,8,7,5,,,,,,,,,
7600081,9,9,10,6,9,9,8,4,,,,,,,,,
7600082,6,8,6,4,4,4,3,6,,,,,,,,,
7600083,9,9,8,8,8,9,6,6,,,,,,,,,
7600084,9,8,9,3,9,9,8,5,,,,,,,,,
7600085,9,8,9,9,9,9,8,7,,,,,,,,,
7600086,9,9,10,4,9,9,9,5,,,,,,,,,
7600087,5,7,6,2,4,7,3,6,,,,,,,,,
7600088,10,10,10,6,10,10,10,3,,,,,,,,,
7600089,5,7,4,3,2,6,4,8,,,,,,,,,
7600090,7,7,8,4,9,6,5,4,,,,,,,,,
7600091,5,4,5,3,5,8,5,7,,,,,,,,,
7600092,9,9,9,6,9,9,7,5,,,,,,,,,
7600093,5,6,6,4,4,4,5,5,,,,,,,,,
7600094,5,3,6,2,4,8,3,6,,,,,,,,,
7600095,7,7,5,10,5,10,2,4,,,,,,,,,
7600096,9,9,9,6,9,9,8,4,,,,,,,,,
7600097,7,7,7,5,7,6,6,4,,,,,,,,,
7600098,9,8,9,5,10,9,8,5,,,,,,,,,
7600099,8,6,9,10,8,9,6,5,,,,,,,,,
